Date,Time,Product Name,Customer ID,Customer Name,Price
2023-05-21,08:54:58,Smartphone,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,225.01
2023-02-22,19:51:22,Headphones,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,Javier Johnson,84.88
2023-01-17,01:05:05,Smartphone,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Cristian Santos,790.49
2023-09-16,21:55:07,Smartphone,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,Rhonda Smith,418.64
2023-11-29,19:50:26,Laptop,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Christopher Bernard,1341.87
2023-10-29,10:07:43,Printer,6142ea7d-17be-4111-9a2a-73ed562b0f79,Ryan Munoz,166.13
2023-03-23,15:23:12,Laptop,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Valerie Gray,1638.21
2023-04-21,12:15:18,Camera,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,Shannon Ray,633.45
2023-02-19,13:04:12,Smartphone,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Dylan Miller,292.75
2023-01-23,16:43:37,Camera,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,Mark Diaz,1024.47
2023-07-13,02:52:08,Keyboard,ab9099a4-35a2-40ae-9af3-05535ec42e08,Timothy Wong,29.99
2023-11-18,22:31:10,Keyboard,88bd6407-2bcf-4e01-a28d-efe39bf00273,Carla Gray,43.45
2023-12-27,02:31:56,Camera,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Melinda Cameron,992.82
2023-05-29,02:54:18,Laptop,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,Ethan Adams,1491.89
2023-07-14,10:07:14,Headphones,9132b63e-f162-47e4-a9c3-49e03602f8ac,Emily Rios,266.62
2023-07-06,05:55:19,Monitor,a491f0b2-ea1f-4a65-a27a-984d654821d0,Derek Wright,436.06
2023-12-10,09:43:13,Camera,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Stephanie Ross,726.32
2023-03-29,19:26:50,Smartphone,2369b584-ff5e-4ff0-bf50-bde4382567b8,Ann Williams,809.13
2023-07-14,09:49:42,Headphones,28f49481-a0a0-4dc4-a720-9bdf1c11f735,Jennifer Brown,90.85
2023-06-16,02:02:11,Keyboard,77d21e02-ff01-4f99-988c-24c961b1cd22,Tricia Valencia,37.57
2023-06-11,14:36:21,Headphones,1d53434b-b881-49b9-ae27-0da702f06b90,Kimberly Adams,255.45
2023-10-18,11:27:25,Smartwatch,4b22d308-1c8e-4ee9-9715-bd6fa4161293,Jesse Mckay,126.48
2023-07-22,23:24:19,Headphones,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Cassandra Gaines,213.86
2023-03-13,08:58:45,Monitor,d777a477-4c66-40a8-a013-ac6ededa4e16,Lisa Hernandez,214.29
2023-10-27,15:35:55,Keyboard,f4188f3f-8a14-4e62-a95b-4715c333e861,Kerry Smith,63.12
2023-04-23,05:02:11,Mouse,1ca35cfb-04fc-4d82-bd15-438552fbe43b,Sherry Decker,25.98
2023-01-25,03:59:31,Keyboard,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Theresa Miller,59.48
2023-12-15,15:22:13,Tablet,fa5d3100-11b7-4948-90e6-e6607c69dee1,Pamela Anderson,557.84
2023-07-15,21:41:44,Mouse,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Shane Henderson,12.54
2023-10-11,00:25:04,Monitor,c1590f53-8a0f-4efb-adcd-465e36386821,Christina Collins,388.1
2023-10-02,09:42:53,Smartphone,5f987c71-a65e-488e-abf3-ad39fec21bbe,Joseph Martinez,881.71
2023-08-11,05:45:30,Camera,05628059-568c-469b-9064-005c3985c3cf,Crystal Robinson,433.86
2023-05-15,18:13:32,Monitor,0f1259e0-a18f-46b6-b535-106e122c9a56,Taylor Heath,151.46
2023-02-24,22:45:59,Tablet,474a493b-3ced-4f2d-839f-bc501223b513,Cindy Anderson,479.99
2023-09-17,22:10:18,Smartwatch,93829b43-922f-415a-a1e3-db63ef7ddc76,Richard Aguirre,436.67
2023-03-24,19:38:17,Headphones,a8b317fa-18d0-452b-9825-bc5430beb45f,Jeff Owens,88.21
2023-11-03,11:48:07,Keyboard,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Mrs. Jennifer Morgan,93.48
2023-07-05,11:11:46,Monitor,310c0c00-3fa7-4104-9bf9-0e27dc96925e,Jerry Henderson,158.76
2023-10-18,02:52:02,Headphones,dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,Jessica Callahan,64.48
2023-02-05,19:23:42,Smartphone,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Dr. Tracy House DVM,931.91
2023-09-01,20:01:03,Tablet,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,James Brown,233.45
2023-11-07,15:24:21,Tablet,63f2ae24-fc3d-4348-808d-4127610461e3,Richard Gibson,322.29
2023-12-20,07:19:25,Headphones,bb026576-f512-44c3-b253-d2186c4a37ea,Kristi Higgins MD,282.23
2023-12-10,23:39:40,Smartwatch,0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,Kimberly Adkins,259.6
2023-09-22,16:26:17,Camera,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Sarah Moore,825.72
2023-02-02,12:18:33,Smartphone,d9f195d0-1482-4f53-8201-0c62f5f59b22,Kurt Leonard,447.91
2023-04-28,21:25:28,Laptop,f10c718b-1eb0-438a-a75d-d5af3c365296,Danielle Wheeler,1382.46
2023-12-29,22:58:39,Headphones,a8499b92-6b52-42e3-94fc-dd549e8fc965,Kelly Donovan,51.8
